,Analysis,Backdoors,DoS,Reconnaissance,Shellcode,Exploits,Fuzzers,Generic
Random Forest,0.95,1.0,1.0,0.99644128113879,1.0,0.9940968122786304,0.9600967351874244,1.0
XGBoost,0.9875,1.0,1.0,1.0,1.0,0.9940968122786304,0.9625151148730351,1.0
Isolation Forest,0.375,0.4479166666666667,0.5056818181818182,0.2918149466192171,0.2926829268292683,0.6304604486422668,0.5405078597339782,0.20843881856540084
SVM (RBF),0.9875,1.0,0.9886363636363636,0.99644128113879,1.0,0.9917355371900827,0.9782345828295043,0.99915611814346
Autoencoder,0.9625,0.9270833333333334,0.9488636363636364,0.6654804270462633,0.5121951219512195,0.9315230224321134,0.6058041112454655,0.9772151898734177
1D CNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
